cohort,source_count,encoder,contrast,metric,paired_difference,ci95_low,ci95_high,participant_win_fraction,participants
oasis,8,heat_raw18,selected_robust minus random_ordinary,normalized_rmse,-0.013345515503585682,-0.013965993022411591,-0.012759236909103588,0.9934924078091106,461
oasis,8,heat_raw18,selected_robust minus random_ordinary,normalized_mse,-0.0029219133160109747,-0.003188941910076751,-0.0026964866125568665,0.9934924078091106,461
oasis,8,heat_raw18,spatial_robust minus selected_robust,normalized_rmse,0.002579170185836781,0.002031511877050456,0.003103024956684168,0.28199566160520606,461
oasis,8,heat_raw18,spatial_robust minus selected_robust,normalized_mse,0.0004639830070841113,0.00028618756810312734,0.0006139199751843591,0.29067245119305857,461
oasis,8,heat_raw18,floor_random_robust minus random_robust,normalized_rmse,-0.002035087629532533,-0.002548282606836604,-0.0015665387409299456,0.6963123644251626,461
oasis,8,heat_raw18,floor_random_robust minus random_robust,normalized_mse,-0.0005652285205896044,-0.0007612446481625612,-0.00038414490653760844,0.6854663774403471,461
oasis,8,heat_raw18,random_robust minus template_random_robust,normalized_rmse,0.0692223065440484,0.06785478389677427,0.07073249071496118,0.0,461
oasis,8,heat_raw18,random_robust minus template_random_robust,normalized_mse,0.01058497722386047,0.010127379089503927,0.011120329766282612,0.0,461
oasis,8,heat_raw18,selected_robust minus template_selected_robust,normalized_rmse,0.06048457035931684,0.05923358184081124,0.06186158181503255,0.0,461
oasis,8,heat_raw18,selected_robust minus template_selected_robust,normalized_mse,0.008333280245164517,0.007932977025611238,0.008807572454137992,0.0,461
oasis,8,heat_raw18,random_projection minus random_bounded_residual,normalized_rmse,0.0004374579119482529,0.0002880222886248546,0.0005992017493862969,0.37310195227765725,461
oasis,8,heat_raw18,random_projection minus random_bounded_residual,normalized_mse,0.00011158041218657441,6.13591759816712e-05,0.00017139204267556366,0.38177874186550975,461
oasis,8,heat_raw18,random_robust minus atlas_random_aligned,normalized_rmse,0.08352252786407606,0.082088854126096,0.0851315974334304,0.0,461
oasis,8,heat_raw18,random_robust minus atlas_random_aligned,normalized_mse,0.011668067565732763,0.011155108067511273,0.012260302861929424,0.0,461
oasis,8,heat_raw18,selected_robust minus atlas_selected_aligned,normalized_rmse,0.0724663988493866,0.07105530404743055,0.07390735781667562,0.0,461
oasis,8,heat_raw18,selected_robust minus atlas_selected_aligned,normalized_mse,0.009189142612903977,0.00874137434982099,0.009691180043567733,0.0,461
oasis,8,heat_raw18,random_projection minus template_random_projection,normalized_rmse,0.06788407978713655,0.06655997769610245,0.06928372947104545,0.0,461
oasis,8,heat_raw18,random_projection minus template_random_projection,normalized_mse,0.010490435903822988,0.010045948154587408,0.011002475906621687,0.0,461
oasis,8,heat_raw18,random_bounded_residual minus template_random_bounded_residual,normalized_rmse,0.06903065711284526,0.06767199371495489,0.07050328287947177,0.0,461
oasis,8,heat_raw18,random_bounded_residual minus template_random_bounded_residual,normalized_mse,0.01052406480698699,0.010072474214388545,0.011044106881396966,0.0,461
